Iteration,AverageDiscountedReturn,NumTrajs,StdReturn,LossAfter,ExplainedVariance,dLoss,MeanKL,AveragePolicyStd,Entropy,Perplexity,LossBefore,AverageReturn,MeanKLBefore,MaxReturn,MinReturn
19,-178.822433788,20,137.268574539,-0.0145863248271,0.542465560173,0.0145863248271,0.00671410245947,0.814591760279,1.21387033433,3.36648890851,-2.91155988208e-17,-242.510121997,0.0,-2.43913533653,-508.020499861
20,-172.967518278,20,168.47657418,-0.0135744518698,0.384699558863,0.0135744518698,0.00687500419474,0.803597390873,1.20028164036,3.32105213335,-9.94135329613e-17,-258.893701533,0.0,-2.97252966988,-637.823960331
21,-163.950626497,20,98.5770053151,-0.016945133426,0.678045209239,0.016945133426,0.00613919070683,0.782379579647,1.17352327297,3.23336461963,2.17686979553e-16,-207.308947952,0.0,-3.18208578104,-403.881463877
22,-143.77000762,20,121.32546141,-0.0231464635772,0.795309457996,0.0231464635772,0.00985495435657,0.774652871376,1.16359827533,3.2014322101,-1.10675357767e-17,-178.091415891,0.0,-2.82109069562,-453.909347488
23,-210.787428888,20,320.153871842,-0.0155262730162,0.370440186838,0.0155262730162,0.00684071576244,0.78088200913,1.17160731599,3.227175563,-3.22519788654e-16,-350.479191779,0.0,-2.86081101876,-1133.71858477
24,-148.761665587,20,116.738163439,-0.0152356644985,0.28091859538,0.0152356644985,0.00718495570489,0.771517217427,1.1595422426,3.1884733947,6.40598685209e-17,-189.573660466,0.0,-2.88073327319,-384.386968751
25,-148.450252711,20,101.036629599,-0.0168909506671,0.845719050675,0.0168909506671,0.00811614285286,0.753561241522,1.13599354506,3.11426617009,9.4375895987e-17,-183.942009068,0.0,-2.56667026773,-343.688701257
26,-192.706896769,20,235.201540313,-0.0171382994474,0.156258982998,0.0171382994474,0.00668982027176,0.751071773636,1.13268447217,3.1039778681,-3.09030578904e-16,-309.989732532,0.0,-2.52008098492,-912.189704447
27,-191.616619629,20,123.553924656,-0.02067471751,0.336127042767,0.02067471751,0.00900862746227,0.75316332784,1.13546536134,3.11262169974,6.68354260824e-17,-261.846515493,0.0,-3.51031787714,-489.051991916
28,-145.688758236,20,115.9230945,-0.0240736852015,0.832975866916,0.0240736852015,0.00682702497084,0.737323759744,1.11421034404,3.04716102004,2.15882867138e-16,-180.754502668,0.0,-1.88150341802,-467.717518781
